dataset,noise_type,XAI_method,Referee,threshold,metrics: acc
Coffee,local_mean,lime_rocket,weasel,100,0.4642857142857143
Coffee,local_mean,random2020,weasel,0,1.0
Coffee,local_mean,random2020,weasel,10,1.0
Coffee,local_mean,random2020,weasel,20,1.0
Coffee,local_mean,random2020,weasel,30,0.9642857142857143
Coffee,local_mean,random2020,weasel,40,0.9642857142857143
Coffee,local_mean,random2020,weasel,50,1.0
Coffee,local_mean,random2020,weasel,60,0.9642857142857143
Coffee,local_mean,random2020,weasel,70,0.9642857142857143
Coffee,local_mean,random2020,weasel,80,0.9285714285714286
Coffee,local_mean,random2020,weasel,90,0.6785714285714286
Coffee,local_mean,random2020,weasel,100,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,0,1.0
Coffee,global_mean,lime_mrseql,weasel,10,0.75
Coffee,global_mean,lime_mrseql,weasel,20,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,30,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,40,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,50,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,60,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,70,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,80,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,90,0.4642857142857143
Coffee,global_mean,lime_mrseql,weasel,100,0.4642857142857143
Coffee,global_mean,mrseql,weasel,0,1.0
Coffee,global_mean,mrseql,weasel,10,0.8928571428571429
Coffee,global_mean,mrseql,weasel,20,0.6428571428571429
Coffee,global_mean,mrseql,weasel,30,0.75
Coffee,global_mean,mrseql,weasel,40,0.5
Coffee,global_mean,mrseql,weasel,50,0.4642857142857143
Coffee,global_mean,mrseql,weasel,60,0.4642857142857143
Coffee,global_mean,mrseql,weasel,70,0.4642857142857143
Coffee,global_mean,mrseql,weasel,80,0.4642857142857143
Coffee,global_mean,mrseql,weasel,90,0.4642857142857143
Coffee,global_mean,mrseql,weasel,100,0.4642857142857143
Coffee,global_mean,cam,weasel,0,1.0
Coffee,global_mean,cam,weasel,10,0.6071428571428571
Coffee,global_mean,cam,weasel,20,0.4642857142857143
Coffee,global_mean,cam,weasel,30,0.4642857142857143
Coffee,global_mean,cam,weasel,40,0.4642857142857143
Coffee,global_mean,cam,weasel,50,0.4642857142857143
Coffee,global_mean,cam,weasel,60,0.4642857142857143
Coffee,global_mean,cam,weasel,70,0.4642857142857143
Coffee,global_mean,cam,weasel,80,0.4642857142857143
Coffee,global_mean,cam,weasel,90,0.4642857142857143
Coffee,global_mean,cam,weasel,100,0.4642857142857143
Coffee,global_mean,GS,weasel,0,1.0
Coffee,global_mean,GS,weasel,10,0.8571428571428571
Coffee,global_mean,GS,weasel,20,0.4642857142857143
Coffee,global_mean,GS,weasel,30,0.4642857142857143
Coffee,global_mean,GS,weasel,40,0.4642857142857143
Coffee,global_mean,GS,weasel,50,0.4642857142857143
Coffee,global_mean,GS,weasel,60,0.4642857142857143
Coffee,global_mean,GS,weasel,70,0.4642857142857143
Coffee,global_mean,GS,weasel,80,0.4642857142857143
Coffee,global_mean,GS,weasel,90,0.4642857142857143
Coffee,global_mean,GS,weasel,100,0.4642857142857143
Coffee,global_mean,IG,weasel,0,1.0
Coffee,global_mean,IG,weasel,10,0.6071428571428571
Coffee,global_mean,IG,weasel,20,0.4642857142857143
Coffee,global_mean,IG,weasel,30,0.4642857142857143
Coffee,global_mean,IG,weasel,40,0.4642857142857143
Coffee,global_mean,IG,weasel,50,0.4642857142857143
Coffee,global_mean,IG,weasel,60,0.4642857142857143
Coffee,global_mean,IG,weasel,70,0.4642857142857143
Coffee,global_mean,IG,weasel,80,0.4642857142857143
Coffee,global_mean,IG,weasel,90,0.4642857142857143
Coffee,global_mean,IG,weasel,100,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,0,1.0
Coffee,global_mean,lime_rocket,weasel,10,0.5
Coffee,global_mean,lime_rocket,weasel,20,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,30,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,40,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,50,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,60,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,70,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,80,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,90,0.4642857142857143
Coffee,global_mean,lime_rocket,weasel,100,0.4642857142857143
Coffee,global_mean,random2020,weasel,0,1.0
Coffee,global_mean,random2020,weasel,10,0.4642857142857143
Coffee,global_mean,random2020,weasel,20,0.4642857142857143
Coffee,global_mean,random2020,weasel,30,0.4642857142857143
Coffee,global_mean,random2020,weasel,40,0.4642857142857143
Coffee,global_mean,random2020,weasel,50,0.4642857142857143
Coffee,global_mean,random2020,weasel,60,0.4642857142857143
Coffee,global_mean,random2020,weasel,70,0.4642857142857143
Coffee,global_mean,random2020,weasel,80,0.4642857142857143
Coffee,global_mean,random2020,weasel,90,0.4642857142857143
Coffee,global_mean,random2020,weasel,100,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,0,1.0
Coffee,global_gaussian,lime_mrseql,weasel,10,0.6428571428571429
Coffee,global_gaussian,lime_mrseql,weasel,20,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,30,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,40,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,50,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,60,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,70,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,80,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,90,0.4642857142857143
Coffee,global_gaussian,lime_mrseql,weasel,100,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,0,1.0
Coffee,global_gaussian,mrseql,weasel,10,0.9285714285714286
Coffee,global_gaussian,mrseql,weasel,20,0.75
Coffee,global_gaussian,mrseql,weasel,30,0.5357142857142857
Coffee,global_gaussian,mrseql,weasel,40,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,50,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,60,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,70,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,80,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,90,0.4642857142857143
Coffee,global_gaussian,mrseql,weasel,100,0.4642857142857143
Coffee,global_gaussian,cam,weasel,0,1.0
Coffee,global_gaussian,cam,weasel,10,0.6785714285714286
Coffee,global_gaussian,cam,weasel,20,0.4642857142857143
Coffee,global_gaussian,cam,weasel,30,0.4642857142857143
Coffee,global_gaussian,cam,weasel,40,0.4642857142857143
Coffee,global_gaussian,cam,weasel,50,0.4642857142857143
Coffee,global_gaussian,cam,weasel,60,0.4642857142857143
Coffee,global_gaussian,cam,weasel,70,0.4642857142857143
Coffee,global_gaussian,cam,weasel,80,0.4642857142857143
Coffee,global_gaussian,cam,weasel,90,0.4642857142857143
Coffee,global_gaussian,cam,weasel,100,0.4642857142857143
Coffee,global_gaussian,GS,weasel,0,1.0
Coffee,global_gaussian,GS,weasel,10,0.8571428571428571
Coffee,global_gaussian,GS,weasel,20,0.4642857142857143
Coffee,global_gaussian,GS,weasel,30,0.4642857142857143
Coffee,global_gaussian,GS,weasel,40,0.4642857142857143
Coffee,global_gaussian,GS,weasel,50,0.4642857142857143
Coffee,global_gaussian,GS,weasel,60,0.4642857142857143
Coffee,global_gaussian,GS,weasel,70,0.4642857142857143
Coffee,global_gaussian,GS,weasel,80,0.4642857142857143
Coffee,global_gaussian,GS,weasel,90,0.4642857142857143
Coffee,global_gaussian,GS,weasel,100,0.4642857142857143
Coffee,global_gaussian,IG,weasel,0,1.0
Coffee,global_gaussian,IG,weasel,10,0.6071428571428571
Coffee,global_gaussian,IG,weasel,20,0.4642857142857143
Coffee,global_gaussian,IG,weasel,30,0.4642857142857143
Coffee,global_gaussian,IG,weasel,40,0.4642857142857143
Coffee,global_gaussian,IG,weasel,50,0.4642857142857143
Coffee,global_gaussian,IG,weasel,60,0.4642857142857143
Coffee,global_gaussian,IG,weasel,70,0.4642857142857143
Coffee,global_gaussian,IG,weasel,80,0.4642857142857143
Coffee,global_gaussian,IG,weasel,90,0.4642857142857143
Coffee,global_gaussian,IG,weasel,100,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,0,1.0
Coffee,global_gaussian,lime_rocket,weasel,10,0.5
Coffee,global_gaussian,lime_rocket,weasel,20,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,30,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,40,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,50,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,60,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,70,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,80,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,90,0.4642857142857143
Coffee,global_gaussian,lime_rocket,weasel,100,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,0,1.0
Coffee,global_gaussian,random2020,weasel,10,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,20,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,30,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,40,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,50,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,60,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,70,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,80,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,90,0.4642857142857143
Coffee,global_gaussian,random2020,weasel,100,0.4642857142857143
Coffee,local_gaussian,lime_mrseql,weasel,0,1.0
Coffee,local_gaussian,lime_mrseql,weasel,10,0.9642857142857143
Coffee,local_gaussian,lime_mrseql,weasel,20,0.9285714285714286
Coffee,local_gaussian,lime_mrseql,weasel,30,0.9285714285714286
Coffee,local_gaussian,lime_mrseql,weasel,40,0.9285714285714286
Coffee,local_gaussian,lime_mrseql,weasel,50,0.8214285714285714
Coffee,local_gaussian,lime_mrseql,weasel,60,0.7142857142857143
Coffee,local_gaussian,lime_mrseql,weasel,70,0.6071428571428571
Coffee,local_gaussian,lime_mrseql,weasel,80,0.4642857142857143
Coffee,local_gaussian,lime_mrseql,weasel,90,0.5
Coffee,local_gaussian,lime_mrseql,weasel,100,0.4642857142857143
Coffee,local_gaussian,mrseql,weasel,0,1.0
Coffee,local_gaussian,mrseql,weasel,10,0.9642857142857143
Coffee,local_gaussian,mrseql,weasel,20,0.9642857142857143
Coffee,local_gaussian,mrseql,weasel,30,0.9285714285714286
Coffee,local_gaussian,mrseql,weasel,40,0.8571428571428571
Coffee,local_gaussian,mrseql,weasel,50,0.7142857142857143
Coffee,local_gaussian,mrseql,weasel,60,0.6428571428571429
Coffee,local_gaussian,mrseql,weasel,70,0.4642857142857143
Coffee,local_gaussian,mrseql,weasel,80,0.5
Coffee,local_gaussian,mrseql,weasel,90,0.5357142857142857
Coffee,local_gaussian,mrseql,weasel,100,0.4642857142857143
Coffee,local_gaussian,cam,weasel,0,1.0
Coffee,local_gaussian,cam,weasel,10,1.0
Coffee,local_gaussian,cam,weasel,20,0.8928571428571429
Coffee,local_gaussian,cam,weasel,30,0.8928571428571429
Coffee,local_gaussian,cam,weasel,40,0.75
Coffee,local_gaussian,cam,weasel,50,0.7142857142857143
Coffee,local_gaussian,cam,weasel,60,0.7142857142857143
Coffee,local_gaussian,cam,weasel,70,0.6071428571428571
Coffee,local_gaussian,cam,weasel,80,0.5357142857142857
Coffee,local_gaussian,cam,weasel,90,0.4642857142857143
Coffee,local_gaussian,cam,weasel,100,0.4642857142857143
Coffee,local_gaussian,GS,weasel,0,1.0
Coffee,local_gaussian,GS,weasel,10,0.9285714285714286
Coffee,local_gaussian,GS,weasel,20,0.8928571428571429
Coffee,local_gaussian,GS,weasel,30,0.9285714285714286
Coffee,local_gaussian,GS,weasel,40,0.8928571428571429
Coffee,local_gaussian,GS,weasel,50,0.7857142857142857
Coffee,local_gaussian,GS,weasel,60,0.6428571428571429
Coffee,local_gaussian,GS,weasel,70,0.5357142857142857
Coffee,local_gaussian,GS,weasel,80,0.5
Coffee,local_gaussian,GS,weasel,90,0.5
Coffee,local_gaussian,GS,weasel,100,0.4642857142857143
Coffee,local_gaussian,IG,weasel,0,1.0
Coffee,local_gaussian,IG,weasel,10,1.0
Coffee,local_gaussian,IG,weasel,20,0.9642857142857143
Coffee,local_gaussian,IG,weasel,30,0.9642857142857143
Coffee,local_gaussian,IG,weasel,40,0.8928571428571429
Coffee,local_gaussian,IG,weasel,50,0.75
Coffee,local_gaussian,IG,weasel,60,0.6428571428571429
Coffee,local_gaussian,IG,weasel,70,0.5714285714285714
Coffee,local_gaussian,IG,weasel,80,0.4642857142857143
Coffee,local_gaussian,IG,weasel,90,0.5
Coffee,local_gaussian,IG,weasel,100,0.4642857142857143
Coffee,local_gaussian,lime_rocket,weasel,0,1.0
Coffee,local_gaussian,lime_rocket,weasel,10,0.9285714285714286
Coffee,local_gaussian,lime_rocket,weasel,20,0.9642857142857143
Coffee,local_gaussian,lime_rocket,weasel,30,0.8571428571428571
Coffee,local_gaussian,lime_rocket,weasel,40,0.8214285714285714
Coffee,local_gaussian,lime_rocket,weasel,50,0.7142857142857143
Coffee,local_gaussian,lime_rocket,weasel,60,0.6428571428571429
Coffee,local_gaussian,lime_rocket,weasel,70,0.6428571428571429
Coffee,local_gaussian,lime_rocket,weasel,80,0.5357142857142857
Coffee,local_gaussian,lime_rocket,weasel,90,0.4642857142857143
Coffee,local_gaussian,lime_rocket,weasel,100,0.4642857142857143
Coffee,local_gaussian,random2020,weasel,0,1.0
Coffee,local_gaussian,random2020,weasel,10,0.9642857142857143
Coffee,local_gaussian,random2020,weasel,20,0.9642857142857143
Coffee,local_gaussian,random2020,weasel,30,0.9642857142857143
Coffee,local_gaussian,random2020,weasel,40,0.9285714285714286
Coffee,local_gaussian,random2020,weasel,50,0.8571428571428571
Coffee,local_gaussian,random2020,weasel,60,0.6428571428571429
Coffee,local_gaussian,random2020,weasel,70,0.5714285714285714
Coffee,local_gaussian,random2020,weasel,80,0.5714285714285714
Coffee,local_gaussian,random2020,weasel,90,0.5357142857142857
Coffee,local_gaussian,random2020,weasel,100,0.4642857142857143
